dateTime,A1,A2,A2.1,A3,A4,A5,A6,A7,A8,A9,A10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15
2025-04-04 15:02:37,18,Bisexual,Male,Rizal,I love talking to people who share the same interests that I have.,Few times a month,1-3 months,No,,3,Dating,"Fun, casual dates",No,I see bumble as an escape from my reality. Perhaps using my real name won't live up to that facade. ,10.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","I prefer to be with or talk to people who can talk to me regardless of the age difference. So regardless of our age, I'm lucky if I can find someone.",Same Interests,Men,No,Can't lower my pride. Sorry.,Finding genuine connections,The narcissists. ,3 - No Impact,3 - No Impact,"After all, it's easier to attract butterflies than catching them. I've learned to let people see me as who I am rather than impressing them by who they want me to be. "
2025-04-04 15:32:14,22,Gay,Male,Laguna,To meet new people,Several times a day,Less than a month,No,,4,Dating,"Fun, casual dates, Life partner, Long-term relationship",Yes, Because I am being genuine.,10.0,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Level of maturity ,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Men,Yes,Why wait.,"Finding genuine connections, Geographic distance",Communication skill is weak.,3 - No Impact,3 - No Impact,Don't rush anything 
2025-04-04 16:17:21,18,Gay,Male,Metro Manila,To find someone to date ,Once a day,3-6 months,No,,3,Dating,"Life partner, Long-term relationship",No,For privacy reasons,15.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I would love someone older than me because I love older guys ,"Same Interests, Different University/College, Different Age",Men,Yes,You’re not going to lose anything if you do the first move ,"Finding genuine connections, Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches",When they’re texters,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,I’ve learned to be true to people to find someone who’s also true to you 
2025-04-04 18:36:20,19,Bisexual,Male,Metro Manila,To look for friends/date,Once a day,6-12 months,Yes,Boost,3,Dating,"Fun, casual dates, Life partner, Long-term relationship",No,I prefer to use my given nickname,4.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I feel like I'll vibe more with people round my same age,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Men,Yes,Nothing's wrong with greeting them firsthand,"Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches",Cold replies,4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,
2025-04-04 19:26:19,19,Gay,Male,Laguna,"For networking, dating.",Few times a week,6-12 months,No,,3,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,It's easier to build connections that way.,7.0,Aggressive swiping - I swipe to maximize matches and filter later,I just like to interact with people around the same age range.,"Same University/College, Same Degree Program, Same Age, Same Location, Same Interests",Men,Yes,I like to maximize my Bumble usage.,"Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Not enough matches",No response.,3 - No Impact,4 - Somewhat positively improved my self-confidence,Dating apps are a make it or break it when it comes to confidence and how you come in to terms with your dating preferences.
2025-04-04 20:26:41,20,Gay,Male,Cavite,To entertain myself and find some interesting people to talk to.,Several times a day,More than a year,Yes,"Boost, Compliment, Premium, Spotlight, Superswipe",4,Dating,"Fun, casual dates, Intimacy, without commitment",No,"I do not trust yet the people there, I always value my anonymity.",10.0,Aggressive swiping - I swipe to maximize matches and filter later,"I think same age because I can talk about things that they can possibly relate to since we are at the same stage in life. For different age, maybe age gap by less than 5 years would be the max tolerable age gap.","Same University/College, Same Age, Same Location, Same Interests",Men,Yes,Yes because I like presenting myself head on as a guy that's approachable to talk with. This sets a great conversation flow between us.,"Finding genuine connections, Geographic distance, I am not their type, Matches that don't respond, Not enough matches",People that are dry texter.,2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,"Bumble dating is not for the weak hearted. Maybe there's a chance to find true love there, but it's rare I guess. Always be guarded on dating apps because it's a cutthroat environment out there."
2025-04-04 20:34:36,21,Heterosexual (straight),Female,Metro Manila,for past time or i just it when i am bored,Few times a week,1-3 months,Yes,Superswipe,3,Dating,"Fun, casual dates",No,for privacy and safety,10.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,i like men who's older than me,"Same Interests, Different Age",Men,No,no cause i like men who made a move first,"Geographic distance, Not my type",they immediately want to meet even if we just talked for a day,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,don't find a bf or gf in dating app cause some of them only wants to hook up
2025-04-04 20:40:02,20,Bisexual,Non-binary,Cavite,For fun,Once a day,Less than a month,No,,3,Dating,"Fun, casual dates",No,privacy ,5.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I like age that is closer to me ,"Same Location, Different Location",Non-binary people,Yes,I don't know I just like to do a first move,Finding genuine connections,they want to have sex already ,4 - Somewhat positively improved my social life,3 - No Impact,be careful who you chat
2025-04-04 20:43:14,21,Heterosexual (straight),Female,Metro Manila,For entertainment whenever I'm bored and want someone to talk to,Once a day,6-12 months,No,,3,Dating,"Fun, casual dates, Intimacy, without commitment",No,I don't want to be called by my real name if I only met a person thru online ,4.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"I prefer guys who are at least 1-3 years older than me, I think they are more mature than guys who are younger than me.","Same Interests, Different University/College, Different Degree Program",Men,Yes,I find it more thrilling ,"Finding genuine connections, Matches that don't respond",I hate matching with those guys that have other motives.,2 - Somewhat negatively affected my social life,2 - Somewhat negatively affected my self-confidence,I think one of the things I learned is don't trust everything you see online.
2025-04-04 21:03:53,18,Gay,Male,Laguna,dating app,Few times a week,1-3 months,No,,4,Dating,Long-term relationship,Yes,i use because i want too,2.0,Strategic swiping - I swipe based on specific type or checklist in mind,it's just personal ,Same Location,Men,Yes,Because it's i want to,Finding genuine connections,Too horny,4 - Somewhat positively improved my social life,3 - No Impact,It's fun
2025-04-04 21:12:08,19,Heterosexual (straight),Female,Bataan,fun and excitement,Few times a week,3-6 months,Yes,Superswipe,2,Dating,Life partner,Yes,yes,2.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",no answer ,Same University/College,Women,Yes,i feel like it,Having similar relationship goals,none,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,be careful who you are chatting wiht
2025-04-04 22:27:47,22,Heterosexual (straight),Female,Metro Manila,For fun only,Few times a week,More than a year,No,,4,Dating,"Fun, casual dates, Intimacy, without commitment",No,Fear of my friends finding out that I use bumble,3.0,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.","i don't like younger age, it was like I'm hanging out with a kid.","Same University/College, Same Location, Same Interests",Men,No,out of pride,"Not enough matches, Not my type",if they want a serious relationship,3 - No Impact,5 - Very Positively Improved my self-confidence,always be clear with your intention to avoid hurting a person.
2025-04-05 13:53:12,22,Bisexual,Female,Laguna,Get to know others and have casual dates with them :),Few times a month,More than a year,Yes,Boost,4,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,I use Bumble in my university so using a fake name doesn't really have a point for me,3.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I prefer same-aged people because the friends I spend a lot of time with are older. I'd rather date someone who's around my stage in life.,"Same University/College, Same Age, Same Location, Same Interests",Men,Yes,I swipe right on people I find interesting so I message them about that point of interest and get to know them :),Not my type,Rude and assuming,3 - No Impact,3 - No Impact,"HAYH ahm communicate your intentions straight when things are starting to feel more serious. Learn to take rejection well; sometimes they really are turning you down and di ka ""pinapaasa"", they're just being polite "
2025-04-05 14:02:11,21,Heterosexual (straight),Female,Rizal,to talk to other people,Several times a day,3-6 months,Yes,Superswipe,3,Dating,"Fun, casual dates",No,to not be searched in fb or other socmeds,20.0,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,im not that serious in looking for someone to talk to,"Same Interests, Different Age",Men,Yes,it is required to do the first move for women,"Finding genuine connections, Having similar relationship goals, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches",people who mask themselves as looking for dates but really they are there for sexual reasons,2 - Somewhat negatively affected my social life,4 - Somewhat positively improved my self-confidence,never again 😁
2025-04-05 16:00:11,24,Heterosexual (straight),Female,Laguna,Boredom and seems fun ,Few times a week,Less than a month,No,,3,Dating,"Fun, casual dates",No,For privacy and safety,15.0,Strategic swiping - I swipe based on specific type or checklist in mind,"I prefer someone older than me. But if its just dating and usap lang, talking to someone 2 years or 3 years younger is fine. ","Same Interests, Different University/College, Different Degree Program, Different Age",Men,Yes,"Bc that's the feature of Bumble. But now iba na since if you put a prompt na, the guy could message u na. ","Geographic distance, Matches that don't respond, Not my type",To each their own naman but when yung iba is so blatantly being sexual or disrespectful nakakainis. ,3 - No Impact,3 - No Impact,"I just use Bumble to talk and if the person is nice, respectful and vibe check naman I'm okay to date but that's it. I'm not the type to be in a relationship with someone I met online, old school yeah but I prefer organic way pa rin hehe "
2025-04-05 16:04:51,39,Heterosexual (straight),Male,Tarlac,"Curiosity, since I'm recently separated.",Rarely,Less than a month,No,,1,Dating,"Ethical Monogamy, Life partner, Long-term relationship",No,"Anonymity, might see a photo from my hometown.",4.0,No Swiping - I rarely swipe or none at all for long periods. I just wait for others to swipe then that's where I decide.,"Same or lower age, either same interests or learn new things from young folks. ","Same Age, Same Location, Same Interests",Women,No,Just checking the waters.,"Finding genuine connections, Geographic distance, Having similar relationship goals, I am not their type","Judgemental, due to my age",3 - No Impact,3 - No Impact,Hook up culture is popular for young adults.
2025-04-05 16:13:28,23,Bisexual,Female,Laguna,To date,Few times a week,1-3 months,Yes,"Premium, to see who swiped right",3,Dating,"Fun, casual dates",Yes,I give my social media account to people I like. I don't want them to ask why I use a different name.,10.0,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,Same age: to kind of make sure that we are in the same stage in life (studying/starting work),"Same University/College, Same Age, Same Location",Women,Yes,i don't wanna seem snob,"Finding genuine connections, Having similar relationship goals",Short answers and no follow-up questions,4 - Somewhat positively improved my social life,5 - Very Positively Improved my self-confidence,Everyone lies about something
2025-04-05 16:32:23,22,Heterosexual (straight),Male,Metro Manila,To have fun dates and hopefully meet the one,Once a day,1-3 months,Yes,Boost,2,Dating,"Fun, casual dates, Long-term relationship",Yes,I feel like I'd already be lying to my match,1.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",I prefer same age cuz usually it gives more things to connect with,"Same Age, Same Location, Same Interests, Different University/College, Different Degree Program",Women,Yes,How will the convo start if no one makes the first move?,"I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type","When they reply with ""low effort"" or dry messages like ""ok"" or ""yeah""",4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,Patience is the key talaga. Learn to take things slow and just have fun :)
2025-04-05 17:12:43,46,Heterosexual (straight),Male,Metro Manila,Looking for a date/partner,Several times a day,More than a year,Yes,"Premium, Premium+",3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment",Yes,Because i have nothing to hide.,1.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",It helps ensure we are compatible,"Same Location, Same Interests, Different Age, Different Interests",Women,Yes,Seems the appropriate thing to do,"Finding genuine connections, Geographic distance, Having similar relationship goals, I am not their type, Matches that don't respond, Not enough matches",They do not respond timely,3 - No Impact,4 - Somewhat positively improved my self-confidence,Not a student but i learned that it is better to be upfront
2025-04-05 19:07:47,24,Heterosexual (straight),Male,Metro Manila,to look for someone i can fuck with,Few times a week,3-6 months,Yes,"Superswipe, just superswipe for more fuck",3,Dating,"Fun, casual dates, Intimacy, without commitment",No,cuz confidential ,5.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,"im kind of looking for 3yrs older than me, because it's more thrilling to fuck someone older than you","Same Location, just 20km away in my location, to easy meet and fuck","i don't do date, i just do meet and fuck",Yes,because im horny ,"Having similar relationship goals, when they can't split the bill, and they have mindset of you're a ""guy"" u should pay the bill, which is bullshit. just imagine two of you are just students and of ur money just came from ur parents. what a stupid minset of girls",when they can't split the bill ,3 - No Impact,3 - No Impact,just be polite so u can fuck them
2025-04-05 19:39:53,25,Lesbian,Non-binary,Davao del Sur,For hookups,Few times a week,1-3 months,No,,2,Dating,"Fun, casual dates, Intimacy, without commitment",No,More like I'm using my nickname because I'm more comfortable calling me by my nickname than my name especially that they're still strangers.,3.0,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",I'm mostly open to everything. And only seeking for casual/fun,"Same Location, Same Interests, Different Age, Different Interests",Women,No,"It varies like if there was something catchy on her profile, that's where I start the conversation. But if nothing, I'll just wait for the other to do the first move.","Geographic distance, Matches with people that ghosts or unexpectedly unmatches, Not enough matches",The energy doesn't match.,3 - No Impact,3 - No Impact,You can find different types of love here. 
2025-04-05 20:51:45,19,Heterosexual (straight),Male,Rizal,Find someone to coexist with?,Few times a month,6-12 months,Yes,"Boost, Compliment, Premium, Premium+, Spotlight, Superswipe",2,Dating,"Fun, casual dates, Intimacy, without commitment",Yes,I think using your real name sort of builds trust with the person you match with.,3.0,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",Different age. More people,"Different Age, Different Location, Different Interests",Women,Yes,"I think, as a guy, it's kind of the common thing to do?","Finding genuine connections, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches",Don't give off the same energy as I do.,3 - No Impact,2 - Somewhat negatively affected my self-confidence,It's better to find a genuine connection with someone you click with irl rather than in dating apps.
2025-04-05 20:57:07,22,Heterosexual (straight),Female,Metro Manila,Curiosity,Once a day,1-3 months,No,,2,Dating,"Life partner, Long-term relationship, Marriage",Yes,,2.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,I prefer to date people who are in the same age as mine or those who are 2 years younger or older than me. ,"Same Age, Same Interests, Different University/College, Different Age",Men,Yes,"At that time, it is required for women to make the first message.","Finding genuine connections, Geographic distance, I am not their type, Not enough matches, Not my type",Matches that do not give the same energy given to them lol,3 - No Impact,3 - No Impact,"I have learned that a lot of people do not really have serious intentions lol. I just realized how difficult finding real connections nowadays. But, I guess I shouldn’t be expecting that in a dating app lmao."
2025-04-05 21:45:50,19,Bisexual,Male,Metro Manila,To find *that* person.,Few times a week,6-12 months,Yes,Premium,2,Dating,"Fun, casual dates",No,Just because,0.0,Selective swiping - I swipe right only on profiles that genuinely catch my interest,Just because.,"Same Age, Same Location, Different University/College, Different Degree Program",Men,Yes,Becaus that's the point of Bumble.,"Finding genuine connections, Geographic distance, Having similar relationship goals, I am not their type, Matches that don't respond, Not my type",Them not replying.,3 - No Impact,2 - Somewhat negatively affected my self-confidence,Don't try haha
2025-04-05 22:01:52,22,Pansexual,Genderfluid,Laguna,Find dates or chats ,Few times a month,1-3 months,No,,2,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment",No,I don't identify with my legal name,5.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",No one below 20 no one above 28. Too much experience difference and feels weird ,Same Interests,Women or enbys rarely cis straight males,Yes,Cuz most of people on bumble are dry af and even if they matched with you they rarely initiate anything so you end up with multiple nothing ,"Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches, Dry convos or not same energy",Making me do all the convo,4 - Somewhat positively improved my social life,2 - Somewhat negatively affected my self-confidence,There are probably way better ways that is less time consuming and affecting of self image
2025-04-05 22:39:38,22,Bisexual,Female,Laguna,for external validation,Few times a week,More than a year,No,,2,Dating,"Intimacy, without commitment",Yes,i dont mind if they knew my name,5.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",same university - so we could have collective experience already,Same University/College,everyone,No,because i have my own prompt for them to answer,Not my type,they don't pass the vibe check,3 - No Impact,4 - Somewhat positively improved my self-confidence,i learned not to rely too much on bumble profiles because there's more to them than the profile itself (you may take this negatively or positively)
2025-04-05 22:56:39,18,Lesbian,Female,Laguna,In hopes of finding a genuine romantic connection with someone.,Several times a day,1-3 months,Yes,Boost,3,Dating,"Fun, casual dates, Long-term relationship",Yes,"because it's the most basic information that a person can have from you. when i made my account, it's a choice that i did with the idea of selling my self out on the platform. it's a commitment between me and the idea of knowing someone wholeheartedly, and the first thing that i can offer to that commitment is my real name--my real identity.",15.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","even though there's a filtering feature on bumble, i still selectively choose people whom i will entertain based on their age. i prefer people around my age (in romatic terms) because i don't like the idea of committing myself to someone who belongs in a different generation. i believe that our views and goals in life would hinder us to form a real bond.","Same Age, Same Location, Same Interests, Different University/College, Different Degree Program, Different Age, Different Location, Different Interests",Women,Yes,because i've decided to install the app so why would i let mt pride take over by not taking the step to message them first? ang ironic lang kasi if hindi ko naman i-mamaximize yung messaging feature nung app eh tuwing nagmamatch lang naman nagkakaroon ng opportunity to do so. and kapag nagmatch kasi ay meaning nun na mutual ang pagiging interested niyo sa isa't-isa.,"Finding genuine connections, Geographic distance, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not enough matches, Not my type",sudden ghostings!! and yung mga hanggang exchange na lang ng ig accounts hahaha kainiz !!,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,i met my ex on bumble and one of thing i have learned ay to take your time to get to know someone!! lalo na now na very fast-paced ang dating sa wlw.
2025-04-06 01:57:57,22,Pansexual,Non-binary,Cavite,to look for any type of connection ,Few times a month,More than a year,Yes,Premium,4,Dating,"Fun, casual dates, Intimacy, without commitment",No,For security purposes,50.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",To not waste time and to match with those who are my type,"Same University/College, Same Interests",Men,Yes,"If they are really my type and we matched, messaging first should be easy","Finding genuine connections, Having similar relationship goals",They seem to show/offer only the best parts of themselves and may come off as inauthentic.,4 - Somewhat positively improved my social life,4 - Somewhat positively improved my self-confidence,"Finding a person who fits your standards is already rare, but having the same expectations and forming a genuine connection after matching are more difficult. 

Also, I think users around my age tend to “lovebomb” and have the tendency to pursue “situationships” or flings."
2025-04-06 17:54:16,25,Bisexual,Female,Laguna,to look for a fling/relationship,Few times a week,More than a year,No,,3,Dating,"Fun, casual dates, Life partner, Long-term relationship",No,i dont use my real name so that only those who i take out of bumble will know. ,4.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding",i dont understand this question,"Same Age, Same Location, Same Interests",Women,Yes,just my personal preference,Matches that don't respond,is not good with making conversation,3 - No Impact,4 - Somewhat positively improved my self-confidence,people can be great liars
2025-04-06 20:43:25,21,Bisexual,Male,Laguna,"For entertainment, eme for ano dating ",Few times a week,Less than a month,No,,2,Dating,"Fun, casual dates, Intimacy, without commitment",No,Privacy ,10.0,Mood-based swiping - I swipe depending on how I'm feeling at the very moment.,Exploring ako eh maybe it's my ideal type ,Same Age,Men,Yes,"That's the rule of bumble when you matched, sino una ata mag swipe ganon","Finding genuine connections, I am not their type, Matches that don't respond, Matches with people that ghosts or unexpectedly unmatches, Not my type","Quiet, nonchalant ",2 - Somewhat negatively affected my social life,3 - No Impact,Uhm just enjoy and explore and don't expect anything so you wouldn't hurt yourself 
2025-04-06 21:10:10,27,Bisexual,Male,Cavite,to look for people i can connect with whether as friends or more,Several times a day,More than a year,Yes,Boost,3,Dating,"Ethical Monogamy, Fun, casual dates, Intimacy, without commitment, Life partner, Long-term relationship",Yes,i believe in being genuine and authentic as a way of adding to a person's likeability,10.0,"Vibe check - I read bios, interests, photos and other important profile facts before deciding","i prefer to connect with people bear to my age since most of the time these people have the same goals, wants, and/or outlook in life as me.","Same Location, Same Interests",im fine with any tbh,Yes,it shows eagerness and initiative. i think that it helps in making genuine connections specially when what you say is something with sense and substance.,"Geographic distance, Having similar relationship goals, Matches with people that ghosts or unexpectedly unmatches",when they seem uninterested right from the start,3 - No Impact,3 - No Impact,never let relationships get in the way of your studies. people come and go so you must be able to get back on your feet and pick yourself up when someone leaves. 
2025-04-08 18:32:33,24,Heterosexual (straight),Male,Metro Manila,for fun and an opportunity to meet other people,Few times a week,3-6 months,Yes,24 hours unlimited swipe,3,Dating,"Fun, casual dates",No,fear of someone dedicated enough to be able to find my other socmed ,3.0,"Casual Swiping - I swipe for fun, out of boredom. Not always looking for an immediate match.",can't really explain but I tend to follow the -3 and +3 age difference,"Same Age, Same Interests, Different Age, Different Location",Women,No,The female makes the first move in the app but if they have those pre-ready questions I will try to answer it.,"Finding genuine connections, Geographic distance, I am not their type, Matches with people that ghosts or unexpectedly unmatches, Not my type",ghosting during some convo,3 - No Impact,3 - No Impact,In the long run you will eventually realize which pictures actually look good 
